model,feature_set,horizon,split,event_weight,n,MAE,RMSE,R2,ev_n,ev_MAE,dc_n,dc_MAE
RF,METEO,t+7,train,9.228271956173026,1108,5.1483,7.4767,0.8066,331,4.3853,777,5.4733
RF,METEO,ALL,train,9.228271956173026,7756,3.6589,6.0052,0.8766,2317,3.112,5439,3.8919
RF,METEO,t+1,val,9.228271956173026,135,1.0984,2.5835,0.96,37,1.5245,98,0.9376
RF,METEO,t+2,val,9.228271956173026,135,2.007,3.7261,0.9159,37,2.3054,98,1.8944
RF,METEO,t+3,val,9.228271956173026,135,2.5581,4.015,0.9016,37,2.2057,98,2.6912
RF,METEO,t+4,val,9.228271956173026,135,3.0038,4.3454,0.8833,37,2.214,98,3.3019
RF,METEO,t+5,val,9.228271956173026,135,3.5835,4.9123,0.8498,37,2.5578,98,3.9708
RF,METEO,t+6,val,9.228271956173026,135,4.1072,5.5156,0.8088,37,3.0376,98,4.511
RF,METEO,t+7,val,9.228271956173026,135,4.6751,6.31,0.7573,37,3.5704,98,5.0922
RF,METEO,ALL,val,9.228271956173026,945,3.0047,4.628,0.8692,259,2.4879,686,3.1999
RF,METEO,t+1,test,9.228271956173026,144,1.6898,3.9423,0.9102,35,3.4587,109,1.1218
RF,METEO,t+2,test,9.228271956173026,144,2.792,5.0817,0.8456,35,3.7078,109,2.498
RF,METEO,t+3,test,9.228271956173026,144,3.7424,6.0149,0.7771,35,4.5172,109,3.4936
RF,METEO,t+4,test,9.228271956173026,144,4.2853,6.5797,0.7291,35,4.968,109,4.066
RF,METEO,t+5,test,9.228271956173026,144,4.9298,7.1081,0.6832,35,6.5157,109,4.4205
RF,METEO,t+6,test,9.228271956173026,144,5.3599,7.6716,0.6359,35,6.3398,109,5.0452
RF,METEO,t+7,test,9.228271956173026,144,6.1103,8.4048,0.5772,35,6.8199,109,5.8824
RF,METEO,ALL,test,9.228271956173026,1008,4.1299,6.5559,0.7388,245,5.1896,763,3.7896
MLP,METEO,t+1,train,7.6538515730369046,1108,1.6095,3.7612,0.9523,331,1.7996,777,1.5286
MLP,METEO,t+2,train,7.6538515730369046,1108,2.7116,5.3208,0.904,331,2.7804,777,2.6822
MLP,METEO,t+3,train,7.6538515730369046,1108,3.5346,6.18,0.8697,331,3.3578,777,3.61
MLP,METEO,t+4,train,7.6538515730369046,1108,4.3693,6.9191,0.8359,331,3.7729,777,4.6234
