model,feature_set,horizon,split,event_weight,n,MAE,RMSE,R2,ev_n,ev_MAE,dc_n,dc_MAE
RF,METEO,t+6,test,7.27440308506085,144,9.7344,11.7599,0.1445,35,9.7061,109,9.7435
RF,METEO,t+7,test,7.27440308506085,144,9.903,11.8687,0.157,35,10.0497,109,9.8559
RF,METEO,ALL,test,7.27440308506085,1008,9.5128,11.5886,0.1838,245,9.5412,763,9.5037
MLP,METEO,t+1,train,4.961372443656412,1108,9.7584,12.2759,0.4918,331,9.6166,777,9.8188
MLP,METEO,t+2,train,4.961372443656412,1108,9.7149,12.2148,0.4942,331,9.2776,777,9.9012
MLP,METEO,t+3,train,4.961372443656412,1108,9.6917,12.2303,0.4898,331,8.8834,777,10.036
MLP,METEO,t+4,train,4.961372443656412,1108,9.6987,12.2289,0.4873,331,8.7052,777,10.1219
MLP,METEO,t+5,train,4.961372443656412,1108,9.8089,12.3843,0.4725,331,8.7149,777,10.2749
MLP,METEO,t+6,train,4.961372443656412,1108,9.9381,12.5182,0.4595,331,8.7265,777,10.4542
MLP,METEO,t+7,train,4.961372443656412,1108,10.0905,12.6639,0.4451,331,8.835,777,10.6254
MLP,METEO,ALL,train,4.961372443656412,7756,9.8144,12.3605,0.4774,2317,8.9656,5439,10.176
MLP,METEO,t+1,val,4.961372443656412,135,9.0051,10.8362,0.2964,37,7.9764,98,9.3935
MLP,METEO,t+2,val,4.961372443656412,135,8.9664,10.751,0.2999,37,7.082,98,9.6779
MLP,METEO,t+3,val,4.961372443656412,135,9.2077,10.9614,0.2662,37,7.2739,98,9.9378
MLP,METEO,t+4,val,4.961372443656412,135,9.2937,11.0396,0.2471,37,7.6492,98,9.9146
MLP,METEO,t+5,val,4.961372443656412,135,9.3633,11.1248,0.2294,37,7.8129,98,9.9486
MLP,METEO,t+6,val,4.961372443656412,135,9.3043,11.0977,0.2259,37,7.8246,98,9.8629
